faoCode,faoName,scientificName
MCC,Ridge scaled rattail,Macrourus carinatus
MCD,Madeira lantern fish,Ceratoscopelus maderensis
MCE,Kermadec rattail,Coelorinchus kermadecus
MCF,Macroparalepis affinis,Macroparalepis affinis
MCG,Indian pike conger,Congresox talabonoides
MCH,Bigeye grenadier,Macrourus holotrachys
MCI,Microphotolepis multipunctata,Microphotolepis multipunctata
MCJ,Pineapplefish,Cleidopus gloriamaris
MCK,Campbell whiptail,Coelorinchus kaiyomaru
MCM,Abyssal rattail,Coryphaenoides murrayi
MCN,Stoplight loosejaw,Malacosteus niger
MCQ,Snouted mullet,Chaenomugil proboscideus
MCR,Serrulate whiptail,Coryphaenoides serrulatus
MCS,Longrayed whiptail,Coryphaenoides subserrulatus
MCT,Mahia whiptail,Coelorinchus matamua
MCU,Myctophum nitidulum,Myctophum nitidulum
MCW,Sharp-nosed river mullet,Cestraeus oxyrhynchus
MDA,Halfmoon,Medialuna californiensis
MDB,Bumphead damselfish,Microspathodon bairdii
MDD,Bristle squat lobster,Munida hispida
MDG,Chiasmodon bolangeri,Chiasmodon bolangeri
MDH,Microdesmus aethiopicus,Microdesmus aethiopicus
MDJ,Kishi velvet shrimp,Metapenaeopsis dalei
MDO,Monrovia doctorfish,Acanthurus monroviae
MDR,Mawson's dragonfish,Cygnodraco mawsoni
MDW,Largetooth goby,Macrodontogobius wilburi
MDX,Top shell,Monodonta nebulosa
MDZ,Muraena spp,Muraena spp
MEC,New Zealand lobster,Metanephrops challengeri
MED,California kingcroaker,Menticirrhus undulatus
MEE,Belligerent sculpin,Megalocottus platycephalus
MEF,Festive ribbonfish,Eutaeniophorus festivus
MEG,Megrim,Lepidorhombus whiffiagonis
MEI,Telescope fish,Mendosoma lineatum
MEJ,Humpback anglerfish,Melanocetus johnsoni
MEK,Fire shrimp,Metapenaeus alcocki
MEL,Melanostigma spp,Melanostigma spp
EDZ,Southern bottletail squid,Sepiadarium austrinum
MEM,Panama kingcroaker,Menticirrhus panamensis
MEN,Black triggerfish,Melichthys niger
MEO,Snakehead kingcroaker,Menticirrhus ophicephalus
MEQ,Humpback shrimp,Metapenaeopsis lamellata
MER,Silver grunter,Mesopristes argenteus
MES,Pacific menhaden,Ethmidium maculatum
MET,Metapenaeus shrimps nei,Metapenaeus spp
MEU,Highfin king croaker,Menticirrhus nasus
MEX,Tolo velvet shrimp,Metapenaeopsis toloensis
MEZ,Grinning tun,Malea pomum
MFA,Barred surfperch,Amphistichus argenteus
MFB,Rare wrasse,Macropharyngodon bipartitus
MFD,China lobster,Metanephrops sinensis
MFE,Semicossyphus reticulatus,Semicossyphus reticulatus
MFF,Flagfin mojarra,Eucinostomus melanopterus
MFG,Slender snipefish,Macroramphosus gracilis
MFH,Red-banded lobster,Metanephrops thomsoni
MFI,Caribbean lobster,Metanephrops binghami
MFJ,Japanese lobster,Metanephrops japonicus
MFK,Siboga lobster,Metanephrops sibogae
MFL,Northwest lobster,Metanephrops australiensis
MFM,Formosa lobster,Metanephrops formosanus
MFN,Neptune lobster,Metanephrops neptunus
MFO,Bight lobster,Metanephrops boschmai
MFP,Trumpetsnout spikefish,Macrorhamphosodes platycheilus
MFQ,Okinawa sculptured lobster,Metanephrops sagamiensis
MFS,Urugayian lobster,Metanephrops rubellus
MFT,Armoured lobster,Metanephrops armatus
MFU,Arafura lobster,Metanephrops arafurensis
MFV,Velvet lobster,Metanephrops velutinus
MGA,Golden grey mullet,Liza aurata
MGC,Thinlip grey mullet,Liza ramada
MGF,Megalonibea fusca,Megalonibea fusca
MGH,Pacific cask shell,Malea ringens
MGI,Parassi mullet,Mugil incilis
MGK,Longfin mullet,Moolgarda pedaraki
MGQ,Shore crab,Metagrapsus messor
MGR,Meagre,Argyrosomus regius
MGS,Mugil spp,Mugil spp
MGT,Gavialiceps taeniola,Gavialiceps taeniola
MGU,White mullet,Mugil curema
MGV,Malacocottus gibber,Malacocottus gibber
MGX,Pacific tomcod,Microgadus proximus
MGZ,Pacific melongena,Melongena patula
MHA,Atlantic menhaden,Brevoortia tyrannus
MHB,Meiacanthus abditus,Meiacanthus abditus
MHD,Pempheris adspersus,Pempheris adspersus
MHE,Half fringelip mullet,Crenimugil heterocheilus
MHG,Gulf menhaden,Brevoortia patronus
MHH,Whiskered sole,Monochirus hispidus
MHI,Curved sweeper,Pempheris poeyi
MHJ,Slender codling,Halargyreus johnsonii
MHK,Myrichthys aki,Myrichthys aki
MHL,Silver sweeper,Pempheris oualensis
MHM,Immaculate damsel,Mecaenichthys immaculatus
MHN,Largenose grenadier,Coryphaenoides nasutus
MHP,Argentine menhaden,Brevoortia pectinata
MHQ,Mud crab,Macrophtalmus depressus
MHS,Brazilian menhaden,Brevoortia aurea
MHT,Yellowfin menhaden,Brevoortia smithi
MHU,Speckled worm-eel,Myrophis punctatus
MHV,Vanikoro sweeper,Pempheris vanicolensis
MHY,Mystriophis porphyreus,Mystriophis porphyreus
MHZ,Maroon stone crab,Menippe rumphii
MIA,Microchirus azevia,Microchirus azevia
MIC,Myers' icefish,Chionodraco myersi
MID,Shortnose pipefish,Micrognathus andersonii
MIF,Mirolabrichthys flavoguttatus,Mirolabrichthys flavoguttatus
MIG,Flat-nosed pipefish,Microphis argulus
MIH,Mi-iuy (brown) croaker,Miichthys miiuy
MIJ,Norway bullhead,Micrenophrys lilljeborgii
MIK,Slender croaker,Micropogonias ectenes
MIL,Milkfish,Chanos chanos
EIP,Giant Australian cuttlefish,Sepia apama
MIN,Wavyline grunt,Microlepidotus inornatus
MIO,Mollison's pipefish,Mitotichthys mollisoni
MIP,Dover sole,Microstomus pacificus
MIQ,Lumpy stone crab,Menippe nodifrons
MIR,Stripey,Microcanthus strigatus
EJB,African cuttlefish,Sepia bertheloti
EJD,Madokai's cuttlefish,Sepia madokai
EJH,Hooded cuttlefish,Sepia prashadi
EJK,Golden cuttlefish,Sepia esculenta
EJW,Sepia tenuipes,Sepia tenuipes
MIS,Brightbelly sculpin,Microcottus sellaris
MIT,Tallfin croaker,Micropogonias altipinnis
MIV,Angola croaker,Miracorvina angolensis
MIY,Myers' pipefish,Minyichthys myersi
MJA,Blackbar soldierfish,Myripristis jacobus
MJB,Whiskered velvet shrimp,Metapenaeopsis barbata
MJC,Slime flounder,Microstomus achne
MJD,Reef shrimp,Metapenaeopsis borradailei
MJE,Middle shrimp,Metapenaeus intermedius
MJF,Millerigobius macrocephalus,Millerigobius macrocephalus
MJG,Caribbean velvet shrimp,Metapenaeopsis goodei
MJI,Scout velvet shrimp,Metapenaeopsis crassissima
MJJ,Minstrel shrimp,Metapenaeopsis hilarula
MJK,Ginger shrimp,Metapenaeus kutchensis
MJN,Smalleyed squillid mantis shri,Miyakea nepa
MJO,Longsnout flounder,Ammotretis rostratus
MJP,Panamic spidercrab,Maiopsis panamensis
MJQ,Horny miter,Mitra cornicula
MJR,Tudor's flounder,Ammotretis lituratus
MJS,Emerald shrimp,Metapenaeus insolitus
MJU,Reef perch,Micrometrus aurora
MJV,Tora velvet shrimp,Metapenaeopsis acclivis
MJW,"Toad, lyre crabs nei",Hyas spp
MJY,Bird shrimp,Metapenaeus lysianassa
MKA,Marukawichthys ambulator,Marukawichthys ambulator
MKC,Venezuelan grouper,Mycteroperca cidi
MKF,Island grouper,Mycteroperca fusca
MKG,Thickback sole,Microchirus variegatus
MKH,Scamp,Mycteroperca phenax
MKJ,Gulf grouper,Mycteroperca jordani
MKL,Meuschenia australis,Meuschenia australis
MKM,Gag,Mycteroperca microlepis
MKN,Yellowmouth grouper,Mycteroperca interstitialis
MKO,Insular velvet shrimp,Metapenaeopsis kishinouyei
MKR,Leopard grouper,Mycteroperca rosacea
MKS,Tufted blenny,Mccoskerichthys sandae
MKT,Tiger grouper,Mycteroperca tigris
MKU,Mottled grouper,Mycteroperca rubra
MKV,Yellowfin grouper,Mycteroperca venenosa
MKW,Malakichthys wakiyae,Malakichthys wakiyae
MLB,Goldsilk seabream,Acanthopagrus berda
MLE,Sturgeon grenadier,Mataeocephalus acipenserinus
MLG,Pelagic cod,Melanonus gracilis
MLJ,Indian triggerfish,Melichthys indicus
MLL,Softhead grenadier,Malacocephalus laevis
MLM,Blackhead seabream,Acanthopagrus schlegeli
MLN,Black and white snapper,Macolor niger
MLO,Western softhead grenadier,Malacocephalus occidentalis
MLR,Thicklip grey mullet,Chelon labrosus
MLS,Striped marlin,Tetrapturus audax
MLT,Slendertail grenadier,Mataeocephalus tenuicauda
MLV,Bighead mora,Microlepidium verecundum
MLX,Broad velvet shrimp,Metapenaeopsis lata
MLY,Blackback silverside,Melanorhinus cyanellus
MMA,Monopenchelys acuta,Monopenchelys acuta
MMC,Hourglass moray,Muraena clepsydra
MMD,Rice velvet shrimp,Metapenaeopsis andamanensis
MME,Honeycomb moray,Muraena melanotis
MMF,Smooth stone crab,Myomenippe fornasinii
MMG,Tadpole cod,Momonatira globosus
MMH,Mediterranean moray,Muraena helena
MMI,Slender argentine,Microstoma microstoma
MMJ,Pineconefish,Monocentris japonica
MML,Jewel moray,Muraena lentiginosa
MMM,Antarctic armless flounder,Mancopsetta maculata
MMN,Backwaters silverside,Membras analis
MMO,Stout moray,Muraena robusta
MMP,Muraena pavonina,Muraena pavonina
MMQ,Moyebi shrimp,Metapenaeus moyebi
MMR,Reticulate moray,Muraena retifera
MMS,Muraena australiae,Muraena australiae
MMT,Slender bigscale,Melamphaes acanthomus
MMU,White-spotted moray,Muraena argus
MMV,Zaire prawn,Palaemon maculatus
MMW,Mugil trichodon,Mugil trichodon
MMX,Mining shrimp,Metapenaeopsis mineri
MMY,Wisner's lantern fish,Myctophum selenops
MNA,Nansenia ardesiaca,Nansenia ardesiaca
MNB,Melanostomias biseriatus,Melanostomias biseriatus
MND,Labio monodont,Monodonta labio
MNE,Melanostomias tentaculatus,Melanostomias tentaculatus
MNG,Peregrine shrimp,Metapenaeus stebbingi
MNH,Myersina lachneri,Myersina lachneri
MNI,Dogtooth grenadier,Cynomacrurus piriei
MNJ,Macrospinosa cuja,Macrospinosa cuja
MNK,Fan-bellied leatherjacket,Monacanthus chinensis
MNL,Duckbill barracudina,Magnisudis atlantica
MNM,Melanostomias melanopogon,Melanostomias melanopogon
MNO,Onestick stingfish,Minous coccineus
MNP,Neonesthes capensis,Neonesthes capensis
MNQ,Minous quincarinatus,Minous quincarinatus
MNR,Inland silverside,Menidia beryllina
MNS,Mionorus bombonensis,Mionorus bombonensis
MNT,Manta rays,Manta spp
MNU,Maynea puncta,Maynea puncta
MNV,Valdivia black dragon fish,Melanostomias valdiviae
MNY,Thickscale silverside,Melaniris pachylepis
MNZ,Monkfishes nei,Lophius spp
MOA,Atlantic moonfish,Selene setapinnis
MOB,Monocle breams,Scolopsis spp
MOJ,Mojarras(=Silver-biddies) nei,Gerres spp
MOL,Marine molluscs nei,Mollusca
MON,Angler(=Monk),Lophius piscatorius
MOO,Moonfish,Mene maculata
MOP,Sunfish,Mola spp
MOQ,Malvoliophis pinguis,Malvoliophis pinguis
MOR,Moras nei,Moridae
MOS,Monterey Spanish mackerel,Scomberomorus concolor
MOT,Shorttail pike conger,Oxyconger leptognathus
MOU,Silver moony,Monodactylus argenteus
MOW,Morwongs,Nemadactylus spp
MOX,Ocean sunfish,Mola mola
MOY,Smalleye moray cod,Muraenolepis microps
MOZ,Mangrove prawn,Palaemon concinnus
MPA,Rough eagle ray,Pteromylaeus asperrimus
MPB,Yellow shrimp,Metapenaeus brevicornis
MPD,Kadal shrimp,Metapenaeus dobsoni
MPE,Greasyback shrimp,Metapenaeus ensis
MPF,Swimming shrimp,Macropetasma africana
MPH,Lord Howe Island butterflyfish,Amphichaetodon howensis
MPK,Persian mullet,Liza persicus
MPM,Eastern school shrimp,Metapenaeus macleayi
MPN,Speckled shrimp,Metapenaeus monoceros
MPO,Bull ray,Pteromylaeus bovinus
MPR,Microlophichthys microlophus,Microlophichthys microlophus
MPT,Blackspotted smooth-hound,Mustelus punctulatus
MPU,White ribbon eel,Pseudechidna brummeri
MPV,Humpback grouper,Cromileptes altivelis
MPW,Mangrove stone crab,Myomenippe hardwickii
MPY,Champsodon snyderi,Champsodon snyderi
MPZ,Salmon shrimp,Mesopaeneus tropicalis
MQB,Beebe's velvet shrimp,Metapenaeopsis beebei
MQE,York shrimp,Metapenaeus eboracensis
MQI,Greater shining bobtail squid,Semirossia equalis
MQL,Knobby swimcrab,Macropipus tuberculatus
MQP,Flower moon crab,Matuta planipes
MQT,Stork shrimp,Metapenaeus tenuipes
MQU,Moon crab,Matuta lunaris
MQV,Common moon crab,Matuta victor
MRA,Rough cownose ray,Rhinoptera adspersa
MRB,Cownose ray,Rhinoptera bonasus
MRC,Cape grenadier,Macruronus capensis
MRD,Nosestripe klipfish,Muraenoclinus dorsalis
MRF,Foureye rockskipper,Dialommus macrocephalus
MRG,Panama hake,Merluccius angustimanus
MRI,Macrouroides inflaticeps,Macrouroides inflaticeps
MRJ,Flapnose ray,Rhinoptera javanica
MRK,Foureyed sole,Microchirus ocellatus
MRL,Moray cods nei,Muraenolepis spp
MRM,Lusitanian cownose ray,Rhinoptera marginata
MRN,Australian cownose ray,Rhinoptera neglecta
MRO,Norman's smooth-head,Mirognathus normani
MRQ,Ribbon moray,Rhinomuraena quaesita
MRR,Ticon cownose ray,Rhinoptera brasiliensis
MRS,Pacific cownose ray,Rhinoptera steindachneri
MRT,Coryphaenoides thelestomus,Coryphaenoides thelestomus
MRV,Malacoctenus versicolor,Malacoctenus versicolor
MRW,Sharptail mola,Masturus lanceolatus
MRX,Nutshell shrimp,Metacrangon procax
MRY,Oman cownose ray,Rhinoptera jayakari
MRZ,Thickbeard grenadier,Coryphaenoides zaniophorus
MSA,Peppered moray,Siderea picta
MSD,Mackerel scad,Decapterus macarellus
MSE,Ambassis commersoni,Ambassis commersoni
MSF,Mediterranean scaldfish,Arnoglossus laterna
MSJ,Sicamugil hamiltonii,Sicamugil hamiltonii
MSK,"Mackerel sharks,porbeagles nei",Lamnidae
MSN,Bathypelagic rattail,Mesobius antipodum
MSP,Mediterranean spearfish,Tetrapturus belone
MSQ,Wood shrimp,Metapenaeus conjunctus
MSS,Slender giant moray,Strophidon sathete
MST,Greyface moray,Siderea thyrsoidea
MSW,Sulu shrimp,Metapenaeus suluensis
MSY,Demons prawn,Metapenaeus demani
MTA,Malthopsis annulifera,Malthopsis annulifera
MTC,Atlantic soft pout,Melanostigma atlanticum
MTD,Western school shrimp,Metapenaeus dalli
MTE,Speckled smooth-hound,Mustelus mento
MTF,Malacoctenus africanus,Malacoctenus africanus
MTG,Fine shrimp,Metapenaeus elegans
MTH,Giant slender moray,Thyrsoidea macrura
MTI,Comb grouper,Mycteroperca acutirostris
MTJ,Jinga shrimp,Metapenaeus affinis
MTL,Spotted estuary smooth-hound,Mustelus lenticulatus
MTM,Arabian smooth-hound,Mustelus mosis
MTO,Margrethia obtusirostra,Margrethia obtusirostra
MTP,Spotted lanternfish,Myctophum punctatum
MTQ,Papua shrimp,Metapenaeus papuensis
MTR,Narrowfin smooth-hound,Mustelus norrisi
MTS,Spottail mantis squillid,Squilla mantis
MTW,Metelectrona herwigi,Metelectrona herwigi
MTY,Cyttula macropus,Cyttula macropus
MTZ,Starspotted smooth-hound,Mustelus manazo
MUA,Bobo mullet,Joturus pichardi
MUB,Lebranche mullet,Mugil liza
MUD,Indo-Pacific swamp crab,Scylla serrata
MUE,Murex,Murex spp
MUF,Flathead grey mullet,Mugil cephalus
MUH,Needle-tooth moray,Uropterygius macrocephalus
MUI,Morays nei,Muraenidae
MUL,Mullets nei,Mugilidae
MUM,"Goatfishes, red mullets nei",Mullidae
MUO,Leaping African mullet,Mugil capurrii
MUP,Whitespotted smooth-hound,Mustelus palumbes
MUR,Surmullet,Mullus surmuletus
MUT,Red mullet,Mullus barbatus
MUU,Sicklefin smooth-hound,Mustelus lunulatus
MUV,Yellowstripe goatfish,Mulloidichthys flavolineatus
MUW,Humpback smooth-hound,Mustelus whitneyi
MUX,Surmullets(=Red mullets) nei,Mullus spp
MVA,Shortspine African angler,Lophius vaillanti
MVC,Marbled moray cod,Muraenolepis marmoratus
MVD,Atlantic lyre crab,Hyas araneus
MVE,Crimson coral shrimp,Microprosthema semilaeve
MVH,Arctic lyre crab,Hyas coarctatus
MVJ,Blackfin goosefish,Lophius gastrophysus
MVN,Yellow goosefish,Lophius litulon
MVO,Devil anglerfish,Lophius vomerinus
MVP,Balboa goby,Microgobius brevispinis
MVX,Menhadens nei,Brevoortia spp
MWC,Broadgilled hagfish,Eptatretus cirrhatus
MWF,Metanephrops lobsters nei,Metanephrops spp
MWG,Limp eelpout,Melanostigma gelatinosum
MWJ,Microlipophrys bauchotae,Microlipophrys bauchotae
MWK,Muraena augusti,Muraena augusti
MWL,Velvet shrimp,Metapenaeopsis wellsi
MWM,Melamphaes microps,Melamphaes microps
MWO,Patagonian moray cod,Muraenolepis orangiensis
MWP,Sand tilefish,Malacanthus plumieri
MWR,Melanocetus rossi,Melanocetus rossi
MWS,Smallhead moray cod,Muraenolepis microcephalus
MWU,Argentine goatfish,Mullus argentinae
MWX,Myliobatis spp,Myliobatis spp
MXA,Xenophthalmichthys danae,Xenophthalmichthys danae
MXB,Myxodagnus belone,Myxodagnus belone
MXC,Myxodes cristatus,Myxodes cristatus
MXE,Sand grey mullet,Myxus elongatus
MXG,Humpnose big-eye bream,Monotaxis grandoculis
MXI,Channel-clinging crab,Mithrax spinosissimus
MXJ,Plain sculpin,Myoxocephalus jaok
MXM,Monothrix mizolepis,Monothrix mizolepis
MXN,Black seadevils nei,Melanocetidae
MXO,Longhorn sculpin,Myoxocephalus octodecemspinosus
MXR,Maxillicosta raoulensis,Maxillicosta raoulensis
MXT,Harbour spidercrab,Mithrax armatus
MXU,Leopard eel,Myrichthys pardalis
MXV,Shorthorn sculpin,Myoxocephalus scorpius
MXX,Scalloped murex,Murex scolopax
MXZ,Leaden worm eel,Myrophis plumbeus
MYB,Inshore hagfish,Eptatretus burgeri
MYD,Eagle ray,Myliobatis tenuicaudatus
MYE,Nemamyxine elongata,Nemamyxine elongata
MYF,Bat eagle ray,Myliobatis californica
MYG,Hagfish,Myxine glutinosa
MYH,Myliobatis chilensis,Myliobatis chilensis
MYJ,Japanese eagle ray,Myliobatis tobijei
MYL,Common eagle ray,Myliobatis aquila
MYM,Bullnose eagle ray,Myliobatis freminvillei
MYO,Southern eagle ray,Myliobatis goodei
MYP,Brown hagfish,Paramyxine atami
MYQ,Sabre prawn,Campylonotus rathbunae
MYR,Australian bull ray,Myliobatis australis
MYT,Snouted eagle ray,Myliobatis longirostris
MYU,Pacific hagfish,Eptatretus stoutii
MYW,Marilyna darwinii,Marilyna darwinii
MYX,Hagfishes nei,Myxinidae
MYY,Purple eagle ray,Myliobatis hamlyni
MYZ,So-iuy mullet,Mugil soiuy
MZA,Spoon-nose eel,Mystriophis crosnieri
MZB,African spoon-nose eel,Mystriophis rostellatus
MZC,Lestidiops cadenati,Lestidiops cadenati
MZD,Lestidiops sphyrenoides,Lestidiops sphyrenoides
MZE,Jigsaw moray,Uropterygius wheeleri
MZF,Zugmayer's pearleye,Benthalbella infans
MZG,Highfin lizardfish,Bathysaurus mollis
MZJ,Zenion japonicum,Zenion japonicum
MZS,Madeira rockfish,Scorpaena maderensis
MZT,Bastard sole,Microchirus theophila
MZX,Malea spp,Malea spp
MZY,Arrowtail,Melanonus zugmayeri
MZZ,Marine fishes nei,Osteichthyes
NAB,Spotted unicornfish,Naso brevirostris
NAC,Wolf-eel,Anarrhichthys ocellatus
NAE,Narcetes erimelas,Narcetes erimelas
NAF,Geographic wrasse,Anampses geographicus
NAH,Dog shrimp,Parapenaeopsis hungerfordi
NAI,Orangespine unicornfish,Naso lituratus
NAK,Hawknose shrimp,Parapenaeopsis acclivirostris
NAL,Elegant pipefish,Nannocampus elegans
NAM,Panna croaker,Panna microdon
NAN,Nansenia spp,Nansenia spp
NAO,Sailfin sculpin,Nautichthys oculofasciatus
NAP,Rainbow shrimp,Parapenaeopsis sculptilis
NAS,Bluespine unicornfish,Naso unicornis
NAT,Bearded leatherjacket,Anacanthus barbatus
NAU,Pilotfish,Naucrates ductor
NAV,Pygmy blenny,Nannosalarias nativitatus
NAW,Spear shrimp,Parapenaeopsis hardwickii
NAX,Torpedo shrimp,Parapenaeopsis maxillipedo
NAY,Kiddi shrimp,Parapenaeopsis stylifera
NAZ,Gibbous nassa,Nassarius gibbosulus
NBA,Blotched croaker,Nibea maculata
NBC,Spotty,Notolabrus celidotus
NBD,Spotted wrasse,Anampses meleagrides
NBE,Nalbantichthys elongatus,Nalbantichthys elongatus
NBF,Gaper,Champsodon capensis
NBG,Pelican flounder,Chascanopsetta lugubris
NBI,Spinyhead blenny,Acanthemblemaria spinosa
NBM,Smalleye croaker,Nebris microps
NBN,Mauligobius nigri,Mauligobius nigri
NBO,Pacific smalleye croaker,Nebris occidentalis
NBP,Roughhead blenny,Acanthemblemaria aspera
NBR,Yellow jack,Caranx bartholomaei
NBS,Sharpnose croaker,Nibea semifasciata
NBT,Antarctic whelk,Neobuccinum eatoni
NBX,Nassarius spp,Nassarius spp
NBZ,Nimble spray crab,Percnon gibbesi
NCA,Plectranthias altipinnatus,Plectranthias altipinnatus
NCB,Sarcastic fringehead,Neoclinus blanchardi
NCD,Loosetooth parrotfish,Nicholsina denticulata
NCE,Blue-dot triplefin,Notoclinops caerulepunctus
NCF,African spider shrimp,Nematocarcinus africanus
NCH,Notocheirus hubbsi,Notocheirus hubbsi
NCI,Antarctic limpet,Nacella concinna
NCJ,Depressed limpet,Nacella edgari
NCK,Lipkebe holthuisi,Lipkebe holthuisi
NCM,Notocrangon antarcticus,Notocrangon antarcticus
NCO,Western Pacific gizzard shad,Nematalosa come
NCP,Tadpole snailfish,Nectoliparis pelagicus
NCQ,Scrawled cowfish,Acanthostracion quadricornis
NCR,Flame hawkfish,Neocirrhites armatus
NCT,Natal wrasse,Anchichoerops natalensis
NCV,Warmingâ€™s lanternfish,Ceratoscopelus warmingii
NCX,Chicoreus spp,Chicoreus spp
NCY,Honeycomb cowfish,Acanthostracion polygonius
NCZ,Spider shrimp,Nematocarcinus agassizii
NDA,Neoditrema ransonneti,Neoditrema ransonneti
NDB,Ocellated damsel,Neoglyphidodon bonang
NDD,Sidestripe shrimp,Pandalopsis dispar
NDG,Gould's flying squid,Nototodarus gouldi
NDH,Hawaiian flying squid,Nototodarus hawaiiensis
NDJ,Morotoge shrimp,Pandalopsis japonica
NDK,Soldier croaker,Nibea soldado
NDP,Pandalopsis shrimps nei,Pandalopsis spp
NDR,Andamia reyi,Andamia reyi
NDS,Oriental narwal shrimp,Parapandalus spinipes
NDW,Neolithodes diomedeae,Neolithodes diomedeae
NDX,Natica spp,Natica spp
NDY,Pyramidal prickly-winkle,Nodilittorina pyramidalis
NEA,Andaman lobster,Metanephrops andamanicus
NEB,New Zealand blue cod,Parapercis colias
NEC,Red codling,Pseudophycis bachus
NED,Needlefishes nei,Tylosurus spp
NEF,Neoceratias spinifer,Neoceratias spinifer
NEG,Pale toadfish,Neophrynichthys angustus
NEK,Carol bobtail squid,Neorossia caroli
NEM,Mozambique lobster,Metanephrops mozambicus
NEN,Black gemfish,Nesiarchus nasutus
NEP,Norway lobster,Nephrops norvegicus
NES,Indian Ocean lobsterette,Nephropsis stewarti
NEX,"True lobsters,lobsterettes nei",Nephropidae
NFA,Atlantic needlefish,Strongylura marina
NFB,Tropical scaly-headed triplefi,Norfolkia brachylepis
NFD,Nansenia macrolepis,Nansenia macrolepis
NFE,Gladiator lobsterette,Nephropsis ensirostris
NFG,Dogface witch-eel,Facciolella gilberti
NFH,Saya de Malha lobsterette,Nephropsis malhaensis
NFI,Two-toned lobsterette,Nephropsis rosea
NFJ,Fenix lobster,Neoglyphea inopinata
NFK,Spinetail lobsterette,Nephropsis acanthura
NFL,Grooved lobsterette,Nephropsis sulcata
NFM,Red and white lobsterette,Nephropsis suhmi
NFN,Ruby lobsterette,Nephropsis neglecta
NFO,Pacific lobsterette,Nephropsis occidentalis
NFP,Ridge-back lobsterette,Nephropsis carpenteri
NFQ,Arabian demoiselle,Neopomacentrus sindensis
NFR,Mitten lobsterette,Nephropides caribaeus
NFS,Ara,Niphon spinosus
NFT,Scarlet lobsterette,Nephropsis atlantica
NFU,Florida lobsterette,Nephropsis aculeata
NFV,Regal demoiselle,Neopomacentrus cyanomos
NFX,Melongena spp,Melongena spp
NFZ,Prickly lobsterette,Nephropsis agassizii
NGA,Sicklefin lemon shark,Negaprion acutidens
NGB,Lemon shark,Negaprion brevirostris
NGC,Coastal trevally,Carangoides caeruleopinnatus
NGD,Shadow trevally,Carangoides dinema
NGE,Bumpnose trevally,Carangoides hedlandensis
NGG,Notograptus guttatus,Notograptus guttatus
NGH,Longnose trevally,Carangoides chrysophrys
NGJ,Orangespotted trevally,Carangoides bajad
NGK,West Indian crown conch,Melongena melongena
NGM,Duskyshoulder trevally,Carangoides humerosus
NGN,Threadfin jack,Carangoides otrynter
NGO,Coachwhip trevally,Carangoides oblongus
NGQ,Whitefin trevally,Carangoides equula
NGR,Longfin trevally,Carangoides armatus
NGS,Malabar trevally,Carangoides malabaricus
NGT,Island trevally,Carangoides orthogrammus
NGU,Yellowspotted trevally,Carangoides fulvoguttatus
NGV,Acentrogobius viridipunctatus,Acentrogobius viridipunctatus
NGX,Carangoides spp,Carangoides spp
NGY,Bludger,Carangoides gymnostethus
NGZ,Thomas sea catfish,Notarius grandicassis
NHA,North Pacific hake,Merluccius productus
NHD,Blacktail pike-conger,Hoplunnis diomediana
NHF,Facciola's sorcerer,Facciolella oxyrhyncha
NHG,Maori chief,Paranotothenia angustata
NHH,Abyssal halosaur,Halosauropsis macrochir
NHI,Prickly deep-sea lobster,Acanthacaris tenuimana
NHJ,Black cod,Paranotothenia microlepidota
NHK,Donkey croaker,Pennahia anea
NHL,Angel squid,Ancistroteuthis lichtensteini
NHM,Big-head pennah croaker,Pennahia macrocephalus
NHN,Pearl-spotted fairy basslet,Selenanthias analis
NHP,Australian halosaur,Halosaurus pectoralis
NHQ,Paranotothenia dewitti,Paranotothenia dewitti
NHR,Largescale triggerfish,Canthidermis macrolepis
NHS,Sammara squirrelfish,Neoniphon sammara
NHT,Acanthaphritis barbata,Acanthaphritis barbata
NHU,Halosaurus ovenii,Halosaurus ovenii
NHV,Aldrovandia rostrata,Aldrovandia rostrata
NHW,Pawak croaker,Pennahia pawak
NHX,Pennahia spp,Pennahia spp
NHY,Paranotothenia nei,Paranotothenia spp
NHZ,Slender duckbill eel,Hoplunnis punctata
NIA,Scythe shrimp,Penaeopsis balssi
NIB,Bally shrimp,Parapenaeopsis balli
NIC,Apterichtus gracilis,Apterichtus gracilis
NID,Dana octopus squid,Taningia danae
NIE,Four-spined needle shrimp,Penaeopsis eduardoi
NIF,Apterichtus monodi,Apterichtus monodi
NIG,Thin shrimp,Parapenaeopsis gracillima
NIH,Bascanichthys ceciliae,Bascanichthys ceciliae
NIM,American sackfish,Neoepinnula americana
NIN,Dwarf shrimp,Parapenaeopsis nana
NIR,Red pipefish,Notiocampus ruber
NIS,Megalops shrimp,Penaeopsis serrata
NIT,Smoothshell shrimp,Parapenaeopsis tenella
NIU,Uncta shrimp,Parapenaeopsis uncta
NIV,Adonis shrimp,Parapenaeopsis venusta
NIX,Nerita spp,Nerita spp
NIZ,Scaly dwarf monocle bream,Parascolopsis townsendi
NJA,Cake nassa,Nassarius arcularius
NJB,Broderip's moon snail,Natica broderipiana
NJC,Chemnitz's moon snail,Natica chemnitzii
NJD,Channeled nassa,Nassarius dorsatus
NJF,Rosy dwarf monocle bream,Parascolopsis eriomma
NJH,Parascolopsis baranesi,Parascolopsis baranesi
