code	description
03025930	Fresh or chilled pollack "Pollachius pollachius"
03025940	Fresh or chilled ling "Molva spp."
03025990	Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, haddock, coalfish, hake, Alaska pollack, blue whitings, Boreogadus saida, whiting, pollack and ling)
03027100	Fresh or chilled tilapia "Oreochromis spp."
03027200	Fresh or chilled catfish "Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."
03027300	Fresh or chilled carp "Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."
03027400	Fresh or chilled eels "Anguilla spp."
03028115	Fresh or chilled picked dogfish "Squalus acanthias" and catsharks "Scyliorhinus spp."
03028130	Fresh or chilled porbeagle shark "Lamna nasus"
03028140	Fresh or chilled blue shark "Prionace glauca"
03028180	Fresh or chilled dogfish and other sharks (excl. picked dogfish "Squalus acanthias", catsharks "Scyliorhinus spp.", porbeagle shark "Lamna nasus" and blue shark "Prionace glauca")
03028200	Fresh or chilled, rays and skates "Rajidae"
03028300	Fresh or chilled toothfish "Dissostichus spp."
03028410	Fresh or chilled European sea bass "Dicentrarchus labrax"
03028490	Fresh or chilled sea bass "Dicentrarchus spp." (excl. European sea bass)
03028510	Fresh or chilled sea bream of the species Dentex dentex or Pagellus spp.
03028530	Fresh or chilled gilt-head sea bream "Sparus aurata"
03028590	Fresh or chilled sea bream "Sparidae" (excl. gilt-head sea bream, Dentex dentex and Pagellus spp.)
03028921	Fresh or chilled fish of the genus Euthynnus, for industrial processing or preservation (excl. skipjack or stripe-bellied bonito and Kawakawa)
03028929	Fresh or chilled fish of the genus Euthynnus (excl. skipjack or stripe-bellied bonito and Kawakawa, and fish for industrial processing or preservation)
03028931	Fresh or chilled redfish "Sebastes marinus"
03028939	Fresh or chilled redfish "Sebastes spp." (excl. Sebastes marinus)
03028940	Fresh or chilled ray's bream "Brama spp."
03028950	Fresh or chilled monkfish "Lophius spp."
03028960	Fresh or chilled pink cusk-eel "Genypterus blacodes"
03028990	Fresh or chilled fish, n.e.s.
03029100	Fresh or chilled fish livers, roes and milt
03029200	Fresh or chilled shark fins
03029900	Fresh or chilled fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt and shark fins)
03031100	Frozen sockeye salmon [red salmon] "Oncorhynchus nerka"
03031200	Frozen Pacific salmon (excl. sockeye salmon "red salmon")
03031300	Frozen, Atlantic salmon "Salmo salar" and Danube salmon "Hucho hucho"
03031410	Frozen trout "Oncorhynchus apache and Oncorhynchus chrysogaster"
03031490	Frozen trout "Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita and Oncorhynchus gilae" (excl. Oncorhynchus mykiss with heads and gills on, gutted, weighing more than 1,2 kg each, or with heads off, gilled and gutted, weighing more than 1 kg each)
03031900	Frozen salmonidae (excl. trout and Pacific, Atlantic and Danube salmon)
03032300	Frozen tilapia "Oreochromis spp."
03032400	Frozen catfish "Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."
03032500	Frozen carp "Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."
03032600	Frozen eels "Anguilla spp."
03033110	Frozen lesser or Greenland halibut "Reinhardtius hippoglossoides"
03033130	Frozen Atlantic halibut "Hippoglossus hippoglossus"
03033190	Frozen Pacific halibut "Hippoglossus stenolepis"
03033200	Frozen plaice "Pleuronectes platessa"
03033300	Frozen sole "Solea spp."
03033400	Frozen turbot "Psetta maxima"
03033910	Frozen flounder "Platichthys flesus"
03033930	Frozen fish of the genus Rhombosolea
03033950	Frozen fish "Pelotreis flavilatus or Peltorhamphus novaezelandiae"
03033985	Frozen flat fish "Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae" (excl. halibut, plaice, sole, turbot, flounder, Rhombosolea spp., Pelotreis flavilatus and Peltorhamphus novaezelandiae)
03034110	Frozen albacore or longfinned tunas "Thunnus alalunga" for industrial manufacture of products of 1604
03034190	Frozen albacore or longfinned tunas "Thunnus alalunga" (excl. for industrial processing or preservation)
03034220	Frozen yellowfin tuna "Thunnus albacares" for industrial manufacture of products of 1604
03034290	Frozen yellowfin tunas "Thunnus albacares" (excl. for industrial manufacture of products of 1604)
03034310	Frozen skipjack or stripe-bellied bonito "Euthynnus -Katsuwonus- pelamis" for industrial processing or preservation
03034390	Frozen skipjack or stripe-bellied bonito "Euthynnus -Katsuwonus- pelamis" (excl. for industrial processing or preservation)
03034410	Frozen bigeye tunas "Thunnus obesus" for industrial processing or preservation
03034490	Frozen bigeye tunas "Thunnus obesus" (excl. for industrial processing or preservation)
03034512	Frozen Atlantic bluefin tuna "Thunnus thynnus", for industrial processing or preservation
03034518	Frozen Atlantic bluefin tuna "Thunnus thynnus" (excl. for industrial processing or preservation)
03034591	Frozen Pacific bluefin tuna "Thunnus orientalis", for industrial processing or preservation
03034599	Frozen Pacific bluefin tuna "Thunnus orientalis" (excl. for industrial processing or preservation)
03034610	Frozen Southern bluefin tunas "Thunnus maccoyii" for industrial processing or preservation
03034690	Frozen Southern bluefin tunas "Thunnus maccoyii" (excl. for industrial processing or preservation)
03034920	Frozen tunas of the genus "Thunnus" for industrial processing or preservation (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)
03034985	Frozen tunas of the genus "Thunnus" (excl. tunas for industrial processing or preservation and Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)
03035100	Frozen herrings "Clupea harengus, Clupea pallasii"
03035310	Frozen sardines "Sardina pilchardus"
03035330	Frozen sardines "Sardinops spp." and sardinella "Sardinella spp."
03035390	Frozen brisling or sprats "Sprattus sprattus"
03035410	Frozen mackerel "Scomber scombrus, Scomber japonicus"
03035490	Frozen mackerel "Scomber australasicus"
03035510	Frozen Atlantic horse mackerel "Trachurus trachurus"
03035530	Frozen Chilean jack mackerel "Trachurus murphyi"
03035590	Frozen jack and horse mackerel "Trachurus spp." "(excl. Atlantic horse mackerel and Chilean jack mackerel)
03035600	Frozen cobia "Rachycentron canadum"
03035700	Frozen swordfish "Xiphias gladius"
03035910	Frozen anchovies "Engraulis spp."
03035921	Frozen Kawakawa "Euthynnus affinis" for industrial processing or preservation
03035929	Frozen Kawakawa "Euthynnus affinis" (excl. for industrial processing or preservation)
03035990	Frozen Indian mackerels "Rastrelliger spp.", seerfishes "Scomberomorus spp.", jacks, crevalles "Caranx spp.", silver pomfrets "Pampus spp.", Pacific saury "Cololabis saira", scads "Decapterus spp.", capelin "Mallotus villosus", bonitos "Sarda spp.", marlins, sailfishes and spearfish "Istiophoridae"
03036310	Frozen cod "Gadus morhua"
03036330	Frozen cod "Gadus ogac"
03036390	Frozen cod "Gadus macrocephalus"
03036400	Frozen haddock "Melanogrammus aeglefinus"
03036500	Frozen coalfish "Pollachius virens"
03036611	Frozen Cape hake "shallow-water hake" "Merluccius capensis" and deepwater hake "deepwater Cape hake" "Merluccius paradoxus"
03036612	Frozen Argentine hake "Southwest Atlantic hake" "Merluccius hubbsi"
03036613	Frozen southern hake "Merluccius australis"
03036619	Frozen hake "Merluccius spp." (excl. cape hake, deepwater hake, Argentine hake and southern hake)
03036690	Frozen hake "Urophycis spp."
03036700	Frozen Alaska pollack "Theragra chalcogramma"
03036810	Frozen blue whiting "Micromesistius poutassou"
03036890	Frozen southern blue whiting "Micromesistius australis"
03036910	Frozen fish of the species Boreogadus saida
03036930	Frozen whiting "Merlangius merlangus"
03036950	Frozen pollack "Pollachius pollachius"
03036970	Frozen blue grenadier "Macruronus novaezelandiae"
03036980	Frozen ling "Molva spp."
03036990	Frozen fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, haddock, coalfish, hake, Alaska pollack, blue whitings, Boreogadus saida, whiting, pollack, blue grenadier and ling)
03038115	Frozen picked dogfish "Squalus acanthias" and catsharks "Scyliorhinus spp."
03038130	Frozen porbeagle shark "Lamna nasus"
03038140	Frozen blue shark "Prionace glauca"
03038190	Frozen dogfish and other sharks (excl. picked dogfish "Squalus acanthias", catsharks "Scyliorhinus spp.", porbeagle shark "Lamna nasus" and blue shark "Prionace glauca")
03038200	Frozen rays and skates "Rajidae"
03038300	Frozen toothfish "Dissostichus spp."
03038410	Frozen European sea bass "Dicentrarchus labrax"
03038490	Frozen sea bass "Dicentrarchus spp." (excl. European sea bass)
03038921	Frozen fish of the genus Euthynnus, for industrial processing or preservation (excl. skipjack or stripe-bellied bonito and Kawakawa)
03038929	Frozen fish of the genus Euthynnus (excl. skipjack or stripe-bellied bonito and Kawakawa, and fish for industrial processing or preservation)
03038931	Frozen redfish "Sebastes marinus"
03038939	Frozen redfish "Sebastes spp." (excl. Sebastes marinus)
03038940	Frozen fish of the species Orcynopsis unicolor
03038950	Frozen sea bream of the species Dentex dentex or Pagellus spp.
03038955	Frozen gilt-head sea bream "Sparus aurata"
03038960	Frozen ray's bream "Brama spp."
03038965	Frozen monkfish "Lophius spp."
03038970	Frozen pink cusk-eel "Genypterus blacodes"
03038990	Frozen fish, n.e.s.
03039110	Frozen hard and soft roes for the manufacture of deoxyribonucleic acid or protamine sulphate
03039190	Frozen fish livers, roes and milt (excl. hard and soft roes for the manufacture of deoxyribonucleic acid or protamine sulphate)
03039200	Frozen shark fins
03039900	Frozen fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt and shark fins)
03043100	Fresh or chilled fillets of tilapia "Oreochromis spp."
03043200	Fresh or chilled fillets of catfish "Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."
03043900	Fresh or chilled fillets of carp "Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.", eels "Anguilla spp." and snakeheads "Channa spp."
03044100	Fresh or chilled fillets of Pacific salmon "Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus", Atlantic salmon "Salmo salar" and Danube salmon "Hucho hucho"
03044250	Fresh or chilled fillets of trout "Oncorhynchus apache and Oncorhynchus chrysogaster"
03044290	Fresh or chilled fillets of trout "Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita and Oncorhynchus gilae" (excl. of Oncorhynchus mykiss weighing > 400 g each)
03044300	Fresh or chilled fillets of flat fish "Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"
03044410	Fresh or chilled fillets of cod "Gadus morhua, Gadus ogac, Gadus macrocephalus" and of Boreogadus saida
03044430	Fresh or chilled fillets of coalfish "Pollachius virens"
03044490	Fresh or chilled fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, coalfish and Boreogadus saida)
03044500	Fresh or chilled fillets of swordfish "Xiphias gladius"
03044600	Fresh or chilled fillets of toothfish "Dissostichus spp."
03044710	Fresh or chilled fillets of picked dogfish "Squalus acanthias" and catsharks "Scyliorhinus spp."
03044720	Fresh or chilled fillets of porbeagle shark "Lamna nasus"
03044730	Fresh or chilled fillets of blue shark "Prionace glauca"
03044790	Fresh or chilled fillets of dogfish and other sharks (excl. picked dogfish "Squalus acanthias", catsharks "Scyliorhinus spp.", porbeagle shark "Lamna nasus" and blue shark "Prionace glauca")
03044800	Fresh or chilled fillets of rays and skates "Rajidae"
03044950	Fresh or chilled fillets of redfish "Sebastes spp."
03044990	Fresh or chilled fillets of fish, n.e.s.
03045100	Fresh or chilled meat, whether or not minced, of tilapia "Oreochromis spp.", catfish "Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.", carp "Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.", eels "Anguilla spp.", Nile perch "Lates niloticus" and snakeheads "Channa spp." (excl. fillets)
03045200	Fresh or chilled meat, whether or not minced, of salmonidae (excl. fillets)
03045300	Fresh or chilled meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. fillets)
03045400	Fresh or chilled meat, whether or not minced, of swordfish "Xiphias gladius" (excl. fillets)
03045500	Fresh or chilled meat, whether or not minced, of toothfish "Dissostichus spp." (excl. fillets)
03045610	Fresh or chilled meat, whether or not minced, of picked dogfish "Squalus acanthias" and catsharks "Scyliorhinus spp." (excl. fillets)
03045620	Fresh or chilled meat, whether or not minced, of porbeagle shark "Lamna nasus" (excl. fillets)
03045630	Fresh or chilled meat, whether or not minced, of blue shark "Prionace glauca" (excl. fillets)
03045690	Fresh or chilled meat, whether or not minced, of dogfish and other sharks (excl. fillets, picked dogfish "Squalus acanthias", catsharks "Scyliorhinus spp.", porbeagle shark "Lamna nasus" and blue shark "Prionace glauca")
03045700	Fresh or chilled meat, whether or not minced, of rays and skates "Rajidae" (excl. fillets)
03045950	Fresh or chilled flaps of herring
03046100	Frozen fillets of tilapia "Oreochromis spp."
03046200	Frozen fillets of catfish "Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."
03046900	Frozen fillets of carp "Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.", eels "Anguilla spp." and snakeheads "Channa spp."
03047110	Frozen fillets of cod "Gadus macrocephalus"
03047190	Frozen fillets of cod "Gadus morhua, Gadus ogac"
03047200	Frozen fillets of haddock "Melanogrammus aeglefinus"
03047300	Frozen fillets of coalfish "Pollachius virens"
03047411	Frozen fillets of Cape hake "shallow-water hake" "Merluccius capensis" and deepwater hake "deepwater Cape hake" "Merluccius paradoxus"
03047415	Frozen fillets of Argentine hake "Southwest Atlantic hake" "Merluccius hubbsi"
03047419	Frozen fillets of hake "Merluccius spp." (excl. cape hake, deepwater hake and Argentine hake)
03047490	Frozen fillets of hake "Urophycis spp."
03047500	Frozen fillets of Alaska pollack "Theragra chalcogramma"
03047910	Frozen fillets of Boreogadus saida
03047930	Frozen fillets of whiting "Merlangius merlangus"
03047950	Frozen fillets of blue grenadier "Macruronus novaezelandiae"
03047980	Frozen fillets of ling "Molva spp."
03047990	Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, haddock, coalfish, hake, Alaska pollack, Boreogadus saida, whiting, blue grenadier and ling)
03048100	Frozen fillets of Pacific salmon "Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus", Atlantic salmon "Salmo salar" and Danube salmon "Hucho hucho"
03048250	Frozen fillets of trout "Oncorhynchus apache and Oncorhynchus chrysogaster"
03048290	Frozen fillets of trout "Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita and Oncorhynchus gilae" (excl. of Oncorhynchus mykiss weighing > 400 g each)
03048310	Frozen fillets of plaice "Pleuronectes platessa"
03048330	Frozen fillets of flounder "Platichthys flesus"
03048350	Frozen fillets of megrim "Lepidorhombus spp."
03048390	Frozen fillets of flat fish "Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae" (excl. plaice, flounder and megrim)
03048400	Frozen fillets of swordfish "Xiphias gladius"
03048500	Frozen fillets of toothfish "Dissostichus spp."
03048600	Frozen fillets of herring "Clupea harengus, Clupea pallasii"
03048700	Frozen fillets of tuna "of the genus Thunnus", skipjack or stripe-bellied bonito "Euthynnus [Katsuwonus] pelamis"
03048811	Frozen fillets of picked dogfish "Squalus acanthias" and catsharks "Scyliorhinus spp."
03048815	Frozen fillets of porbeagle shark "Lamna nasus"
03048818	Frozen fillets of blue shark "Prionace glauca"
03048819	Frozen fillets of dogfish and other sharks (excl. picked dogfish "Squalus acanthias", catsharks "Scyliorhinus spp.", porbeagle shark "Lamna nasus" and blue shark "Prionace glauca")
03048890	Frozen fillets of rays and skates "Rajidae"
03048921	Frozen fillets of redfish "Sebastes marinus"
03048929	Frozen fillets of redfish "Sebastes spp." (excl. Sebastes marinus)
03048930	Frozen fillets of fish of the genus Euthynnus (excl. skipjack or stripe-bellied bonito)
03048941	Frozen fillets of mackerel "Scomber australasicus"
03048949	Frozen fillets of mackerel "Scomber scombrus, Scomber japonicus" and fish of the species Orcynopsis unicolor
03048960	Frozen fillets of monkfish "Lophius spp."
03048990	Frozen fish fillets, n.e.s.
03049100	Frozen meat, whether or not minced, of swordfish "Xiphias gladius" (excl. fillets)
03049200	Frozen meat, whether or not minced, of toothfish "Dissostichus spp." (excl. fillets)
03049310	Frozen surimi of tilapia "Oreochromis spp.", catfish "Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.", carp "Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.", eels "Anguilla spp.", Nile perch "Lates niloticus" or snakeheads "Channa spp."
03049390	Frozen meat, whether or not minced, of tilapia "Oreochromis spp.", catfish "Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.", carp "Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.", eels "Anguilla spp.", Nile perch "Lates niloticus" and snakeheads "Channa spp." (excl. fillets and surimi)
03049410	Frozen surimi of Alaska pollack "Theragra chalcogramma"
03049490	Frozen meat, whether or not minced, of Alaska pollack "Theragra chalcogramma" (excl. fillets and surimi)
03049510	Frozen surimi of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. Alaska pollack "Theragra chalcogramma")
03049521	Frozen meat, whether or not minced, of cod "Gadus macrocephalus" (excl. fillets and surimi)
03049525	Frozen meat, whether or not minced, of cod "Gadus morhua" (excl. fillets and surimi)
03049529	Frozen meat, whether or not minced, of cod "Gadus ogac" and of fish of the species Boreogadus saida (excl. fillets and surimi)
03049530	Frozen meat, whether or not minced, of haddock "Melanogrammus aeglefinus" (excl. fillets and surimi)
03049540	Frozen meat, whether or not minced, of coalfish "Pollachius virens" (excl. fillets and surimi)
03049550	Frozen meat, whether or not minced, of hake "Merluccius spp." (excl. fillets and surimi)
03049560	Frozen meat, whether or not minced, of blue whiting "Micromesistius poutassou" (excl. fillets and surimi)
03049590	Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. fillets, surimi, Alaska pollack "Theragra chalcogramma", cod, haddock, coalfish, hake "Merluccius spp." and blue whiting)
03049610	Frozen meat, whether or not minced, of picked dogfish "Squalus acanthias" and catsharks "Scyliorhinus spp."
03049620	Frozen meat, whether or not minced, of porbeagle shark "Lamna nasus"
03049630	Frozen meat, whether or not minced, of blue shark "Prionace glauca"
03049690	Frozen meat, whether or not minced, of dogfish and other sharks (excl. picked dogfish "Squalus acanthias", catsharks "Scyliorhinus spp.", porbeagle shark "Lamna nasus" and blue shark "Prionace glauca")
03049700	Frozen meat, whether or not minced, of rays and skates "Rajidae"
03049910	Frozen surimi of fish n.e.s.
03049923	Frozen meat "whether or not minced" of herring "Clupea harengus, Clupea pallasii" (excl. fillets)
03049929	Frozen meat "whether or not minced" of redfish "Sebastes spp." (excl. fillets)
03049955	Frozen meat "whether or not minced" of megrim (excl. fillets)
03049961	Frozen meat "whether or not minced" of Ray's bream "Brama spp." (excl. fillets)
03049965	Frozen meat "whether or not minced" of monkfish "Lophius spp." (excl. fillets)
03049999	Frozen meat of saltwater fish n.e.s. (excl. fillets and surimi)
03052000	Fish livers, roes and milt, dried, smoked, salted or in brine
03053100	Fillets, dried, salted or in brine, but not smoked, of tilapia "Oreochromis spp.", catfish "Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.", carp "Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.", eels "Anguilla spp.", Nile perch "Lates niloticus" and snakeheads "Channa spp."
03053211	Fillets, dried, salted or in brine, but not smoked, of cod "Gadus macrocephalus"
03053219	Fillets, dried, salted or in brine, but not smoked, of cod "Gadus morhua, Gadus ogac" and of fish of the species Boreogadus saida
03053290	Fillets, dried, salted or in brine, but not smoked, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod and Boreogadus saida)
03053910	Fillets of Pacific salmon "Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus", Atlantic salmon "Salmo salar" and Danube salmon "Hucho hucho", salted or in brine, but not smoked
03053950	Fillets of lesser or Greenland halibut "Reinhardtius hippoglossoides", salted or in brine, but not smoked
